Date,Temp_max(c),Temp_avg(c),Temp_min(c),Dew_max(c),Dew_avg(c),Dew_min(c),Hum_max(%),Hum_avg(%),Hum_min(%),Wind_max(mph),Wind_avg(mph),Wind_min(mph),Pres_max(in),Pres_avg(in),Pres_min(in),Precipitation
30/03/2001,33.9,29.6,26.1,25,24.3,22.8,89,74.8,59,15,8.4,2,29.7,29.7,29.6,0
31/03/2001,32.8,27.9,25,26.1,24.5,22.8,94,83.2,55,12,3.7,1,29.8,29.7,29.7,0
1/04/2001,35,28.2,23.9,25,23.3,22.2,94,77.7,47,15,4.6,1,29.8,29.7,29.6,0
2/04/2001,35,28.9,26.1,27.2,25.2,23.9,94,82.4,53,14,3.6,0,29.7,29.6,29.6,0
3/04/2001,31.1,26.8,22.8,26.1,23.8,22.2,100,84.8,66,18,7,0,29.8,29.7,29.6,0
4/04/2001,32.8,26.8,23.9,26.1,23.6,22.2,100,84.5,59,8,4.4,1,29.8,28.3,0,0
5/04/2001,32.8,26.8,25,25,24.3,23.9,94,87.6,59,17,3.2,0,29.8,29.7,29.6,0
6/04/2001,31.1,27.3,25,26.1,24.5,23.9,100,85.7,66,16,3.1,0,29.8,29.7,29.6,0
7/04/2001,32.8,28.3,26.1,25,24.3,22.8,94,81,55,10,4.4,0,29.8,29.7,29.6,0
8/04/2001,33.9,28.3,25,27.2,24.5,22.8,94,81.6,56,8,3.6,0,29.8,29.7,29.6,0
9/04/2001,32.8,27.9,23.9,26.1,24,22.8,94,80.9,55,16,5.8,1,29.7,29.7,29.6,0
10/04/2001,32.8,27.6,25,26.1,23.8,22.8,94,81.2,62,12,5,1,29.8,29.7,29.7,0
11/04/2001,32.2,27.4,25,25,24.1,23.9,94,84,66,13,4,0,29.8,29.7,29.7,0
12/04/2001,32.8,27.2,23.9,26.1,24.4,22.8,94,86.1,63,13,5,0,29.8,29.7,29.6,0
13/04/2001,31.1,26.4,22.8,25,24,22.2,100,87.4,66,12,3.3,0,29.8,28.4,0,0
14/04/2001,32.8,27.7,22.8,25,23,22.2,94,77.4,52,13,4.2,0,29.8,29.8,29.7,0
15/04/2001,35,28.5,25,26.1,24.2,22.8,94,80.2,49,10,3.8,1,29.8,29.8,29.7,0
16/04/2001,33.9,26.7,-17.8,26.1,22.7,-17.8,94,75.8,0,9,3.6,0,29.8,29.7,29.6,0
17/04/2001,32.2,28.7,26.1,25,24.4,22.8,94,79.1,62,14,5.2,1,29.8,29.7,29.6,0
18/04/2001,33.9,29.1,25,25,24.6,23.9,94,77.8,59,13,4.3,0,29.7,29.7,29.6,0
19/04/2001,33.9,26,-17.8,25,22.2,-17.8,94,77.1,0,14,4.6,1,29.7,29.7,29.6,0
20/04/2001,32.2,27.6,25,26.1,24.7,23.9,94,85,66,12,4.1,0,29.7,29.6,29.6,0
21/04/2001,33.9,28.8,25,26.1,24.6,23.9,94,79.3,56,13,4.1,0,29.7,29.6,29.5,0
22/04/2001,32.2,28.2,25,26.1,24.9,22.8,94,83.2,62,8,3.1,1,29.7,29.6,29.6,0
23/04/2001,31.1,28,26.1,25,24.3,22.8,94,81,62,9,4,0,29.7,29.6,29.6,0
24/04/2001,33.9,27.8,25,25,24.4,22.8,94,83.9,56,15,3.4,1,29.7,29.7,29.6,0
25/04/2001,32.8,27.1,25,26.1,24.6,23.9,94,87.5,59,7,2.6,0,29.7,29.7,29.6,0
26/04/2001,26.1,25.7,25,25,24.6,23.9,100,94.4,89,3,1.8,1,29.7,29.7,29.6,0
27/04/2001,32.8,28.3,23.9,26.1,24.4,22.8,94,80.4,63,15,7.1,3,29.7,29.6,29.6,0
28/04/2001,31.1,28.2,26.1,25,24.9,23.9,94,83,66,8,4.6,1,29.7,29.6,29.6,0
29/04/2001,30,25.4,-17.8,25,23.1,-17.8,94,83.4,0,8,3.9,0,29.8,28.4,0,0
30/04/2001,32.8,28.6,25,25,24.6,22.8,94,80.1,59,9,3.6,0,29.8,29.7,29.6,0
1/05/2001,32.8,28.1,25,26.1,24.7,23.9,94,83.3,62,9,3.2,0,29.8,28.5,0,0
2/05/2001,32.8,28.9,25,26.1,23.3,22.8,94,73.8,55,10,5,1,29.8,29.7,29.6,0
3/05/2001,32.8,29.4,26.1,25,24.1,22.8,89,74.4,59,10,5.2,0,29.7,29.6,29.6,0
4/05/2001,35,30.3,26.1,25,24.3,22.8,89,71.4,53,12,4.9,0,29.7,29.7,29.6,0
5/05/2001,35,30.2,27.2,26.1,24.3,22.8,84,72,49,14,7.3,1,29.7,29.7,29.6,0
6/05/2001,35,28.7,25,27.8,24.2,22.2,94,78.3,49,16,6.3,0,29.8,29.7,29.6,0
7/05/2001,33.9,28.5,26.1,25,24.6,22.8,94,81.3,56,13,4.5,0,29.8,29.7,29.6,0
8/05/2001,33.9,28.6,25,25,23.8,21.1,94,77.2,52,14,7.1,0,29.8,29.7,29.6,0
9/05/2001,32.8,29,26.1,25,24.6,23.9,94,78.3,59,12,3.9,0,29.8,29.7,29.6,0
10/05/2001,32.8,25.8,-17.8,27.2,23.4,-17.8,94,83.1,0,12,2.4,0,29.8,29.7,29.7,0
11/05/2001,32.2,27.5,25,25,24.7,23.9,94,85.5,62,13,3,1,29.8,29.7,29.6,0
12/05/2001,28.9,26.8,26.1,26.1,24.4,22.8,94,87.4,70,10,4.3,1,29.8,28.5,0,0
13/05/2001,32.8,28.3,25,26.1,24.6,23.9,94,81.1,63,7,2.5,0,29.7,29.7,29.6,0
14/05/2001,32.8,29.7,27.2,27.2,25.6,23.9,94,78.5,63,12,4.1,0,29.7,29.7,29.6,0
15/05/2001,31.1,27.9,26.1,27.2,25.6,23.9,94,87.7,70,10,3.2,0,29.7,29.7,29.6,0
16/05/2001,32.2,29.1,26.1,26.1,24.9,23.9,94,79.4,62,10,4.6,0,29.8,29.7,29.6,0
17/05/2001,33.9,29.6,26.1,25,24.7,23.9,94,76.3,56,10,3.9,0,29.8,29.7,29.6,0
18/05/2001,35,29.6,26.1,26.1,24.3,22.8,94,74.7,49,7,3.6,0,29.8,29.7,29.6,0
19/05/2001,35,29.8,26.1,25,23.4,22.2,89,69.6,49,10,4.9,1,29.8,29.7,29.6,0
20/05/2001,33.9,29.6,26.1,25,24.1,22.8,89,73.5,56,13,4.1,0,29.7,29.7,29.6,0
21/05/2001,35,29.8,26.1,26.1,24.2,22.8,94,73.5,53,10,4.5,0,29.7,29.7,29.6,0
22/05/2001,33.9,29.1,25,25,23.8,22.8,94,74.7,52,10,5.7,2,29.7,29.7,29.6,0
23/05/2001,32.8,28.6,26.1,26.1,24.4,22.8,89,79.1,59,8,3,0,29.7,28.4,0,0
24/05/2001,32.2,27.9,26.1,27.2,24.9,22.8,94,84.6,66,9,3,0,29.7,29.7,29.6,0
25/05/2001,32.8,28.2,25,25,23.9,21.1,94,78.9,55,10,4.3,0,29.7,29.6,29.6,0
26/05/2001,33.9,27.6,-17.8,25,22.7,-17.8,94,72.5,0,10,4.4,0,29.7,28.4,0,0
27/05/2001,32.8,28.7,25,25,23.9,22.2,94,76.7,59,12,6.1,1,29.8,29.7,29.6,0
28/05/2001,32.2,26.9,25,25,23.9,22.8,94,85.2,62,15,3.9,1,29.8,29.7,29.6,0
29/05/2001,35,29,25,26.1,24,22.2,94,76.2,49,14,3.9,0,29.7,29.7,29.6,0
30/05/2001,33.9,26.2,-17.8,25,22.2,-17.8,94,76.5,0,12,4.1,0,29.7,29.7,29.6,0
31/05/2001,33.9,28.2,23.9,26.1,23.8,21.1,94,79.3,46,9,4.1,0,29.7,29.6,29.6,0
1/06/2001,35,30.1,26.1,25,23.8,21.1,94,71.6,44,13,5.4,0,29.7,29.7,29.6,0
2/06/2001,32.8,29.6,27.2,25,23.9,22.8,84,72.7,55,10,5.4,1,29.8,29.7,29.6,0
3/06/2001,32.8,28.3,25,25,24.1,22.8,94,79,59,9,5.1,1,29.8,29.7,29.6,0
4/06/2001,32.8,28.3,25,25,24.1,22.8,94,79.6,55,12,5.7,1,29.8,28.4,0,0
5/06/2001,33.9,29.1,26.1,26.1,24.5,22.8,94,77.8,56,15,5.3,1,29.7,29.7,29.6,0
6/06/2001,31.1,27,25,26.1,24.6,23.9,94,87.9,66,105,7.1,0,29.7,29.6,29.6,0
7/06/2001,31.1,26.2,25,25,24,22.8,94,88.7,66,17,3.2,0,29.7,29.7,29.6,0
8/06/2001,32.2,27.5,23.9,25,22.7,21.1,94,76.5,52,8,3.9,1,29.7,29.7,29.6,0
9/06/2001,33.9,28.8,25,26.1,23.8,22.2,94,76,49,9,3.5,0,29.7,29.6,29.6,0
10/06/2001,33.9,29.6,25,25,23.5,21.1,94,72.3,46,8,3.9,0,29.7,29.6,29.6,0
11/06/2001,35,27.8,-17.8,25,21.1,-17.8,89,64.8,0,8,3.6,0,29.7,29.7,29.6,0
12/06/2001,35,28.4,23.9,26.1,23.7,21.1,94,78.1,44,23,4,0,29.7,29.7,29.6,0
